city,zipcodes_02
Los Angeles,23
San Diego,18
San Francisco,15
San Jose,15
Seattle,14
Salt Lake City,13
Portland,7
Las Vegas,7
Boise,5
Irvine,4
Tucson,4
Sacramento,4
Spokane,3
Tacoma,3
Whittier,3
Long Beach,3
Burbank,2
San Mateo,2
El Cajon,2
Oakland,2
Santa Barbara,2
Norwalk,2
Stockton,2
Reno,2
Fontana,2
Redwood City,2
Fresno,2
Pasadena,2
Glendale,2
Scottsdale,2
Yorkville,1
Yacolt,1
Witter Springs,1
Winterhaven,1
Wilbur,1
Wellpinit,1
Wellington,1
Vineburg,1
Ventura,1
Vancouver,1
Valentine,1
Valencia,1
Upland,1
Underwood,1
Umatilla,1
Tremonton,1
Trail,1
Tracy,1
Torrance,1
Topanga,1
Toledo,1
Tetonia,1
Tensed,1
Teec Nos Pos,1
Sunnyvale,1
Sunnyside,1
Sun Valley,1
Sterling,1
Startup,1
Stanley,1
Spanaway,1
Sedona,1
Santa Rosa,1
Santa Fe Springs,1
San Ramon,1
San Jacinto,1
San Gregorio,1
San Bernardino,1
San Anselmo,1
Salmon,1
Saint Benedict,1
Safford,1
Round Mountain,1
Riverside,1
River Pines,1
Rimrock,1
Richmond,1
Redding,1
Raymond,1
Rathdrum,1
Quincy,1
Quilcene,1
Priest River,1
Pollock,1
Pixley,1
Pismo Beach,1
Pioche,1
Phoenix,1
Petaluma,1
Peoria,1
Penryn,1
Peach Springs,1
Pe Ell,1
Payson,1
Paskenta,1
Parks,1
Park City,1
Palm Springs,1
Packwood,1
Othello,1
Oroville,1
Oregon House,1
Oregon City,1
Orange,1
Olympia,1
Nubieber,1
Northridge,1
North Powder,1
North Highlands,1
Nephi,1
Neola,1
Needles,1
National City,1
Myton,1
Mountain View,1
Molalla,1
Modesto,1
Middleton,1
Mesa,1
Meadview,1
Mc Gill,1
Mc Call,1
Mariposa,1
Loomis,1
Long Creek,1
Logan,1
Lodi,1
Laveen,1
Laton,1
Landers,1
Laketown,1
Lakeport,1
Lacey,1
Kooskia,1
Koosharem,1
King City,1
Kamas,1
Junction City,1
Jackson,1
Ivins,1
Isleton,1
Inglewood,1
Inchelium,1
Idyllwild,1
Idaho Falls,1
Henderson,1
Hawthorne,1
Happy Camp,1
Hansen,1
Halsey,1
Groveland,1
Greenwood,1
Grayland,1
Gray Mountain,1
Government Camp,1
Golconda,1
Glenoma,1
Gilbert,1
Gaston,1
Fullerton,1
Fountain Valley,1
Fort Hall,1
Flagstaff,1
Finley,1
Fielding,1
Everett,1
Elmo,1
Eldridge,1
Dupont,1
Duck Creek Village,1
Dover,1
Dillard,1
Culver City,1
Crescent City,1
Courtland,1
Cottonwood,1
Corvallis,1
Cornville,1
Corcoran,1
Concord,1
Compton,1
Colton,1
Coeur D Alene,1
Cobb,1
Clifton,1
Clearlake Park,1
Chico,1
Chicago Park,1
Chatsworth,1
Chambers,1
Cedarville,1
Casa Grande,1
Carson City,1
Carrolls,1
Canyon Country,1
Camarillo,1
Callahan,1
California City,1
Cabazon,1
Butte Falls,1
Burlingame,1
Bullhead City,1
Buena Park,1
Brookdale,1
Brigham City,1
Bridgeport,1
Bridal Veil,1
Brea,1
Bow,1
Bountiful,1
Bothell,1
Blue Gap,1
Blue,1
Blanchard,1
Bicknell,1
Berkeley,1
Benson,1
Belmont,1
Bellingham,1
Belden,1
Beaver,1
Battle Ground,1
Bates,1
Baring,1
Ballico,1
Baker City,1
Atwood,1
Aromas,1
Arivaca,1
Appleton,1
Apple Valley,1
Apache Junction,1
Anaheim,1
Alta,1
Alpine,1
Alhambra,1
Aguila,1
Agoura Hills,1
